epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.946,1.22911,0.76377,0.98551,0.70375,0.000301878,0.000301878,0.000301878
2,96.1957,0.70191,0.83188,0.9942,0.49018,0.000405268,0.000405268,0.000405268
3,152.605,0.55732,0.84348,0.99565,0.42644,0.000308678,0.000308678,0.000308678
