epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.129,1.01777,0.85637,1,0.45629,0.00030161,0.00030161,0.00030161
2,68.7164,0.47019,0.90844,1,0.30478,0.000405089,0.000405089,0.000405089
3,100.064,0.37126,0.93537,1,0.2473,0.000308587,0.000308587,0.000308587
